Date Range,Joy Count,Joy Words,Sadness Count,Sadness Words,Anger Count,Anger Words,Fear Count,Fear Words,Trust Count,Trust Words,Disgust Count,Disgust Words,Surprise Count,Surprise Words,Anticipation Count,Anticipation Words,Excitement Count,Excitement Words,Sentiment Label
tuesday june 15 1943 to sunday july 11 1943,7,"money, good, cheer, spirits, baby, grow, beautiful",11,"death, hate, worse, pointless, ill, ulcer, dreary, cancer, lose, error, hospital",7,"money, death, hate, lose, cancer, ill, ulcer",10,"operation, death, hate, worse, cancer, ill, ulcer, hiding, lose, hospital",7,"money, good, cheer, operation, cabinet, hospital, grow",6,"death, hate, lose, cancer, ill, ulcer",6,"money, good, cheer, lose, death, spirits",8,"money, good, cheer, approaching, death, store, spirits, grow",0,,Very Negative
sunday july 11 1943 to tuesday july 13 1943,11,"remarkable, friendly, mother, shopping, humorous, glad, child, deal, kind, approve, helpful",6,"unable, impossible, difficulties, gray, unfair, mother",3,"unfair, anger, mule",2,"hiding, hearing",11,"important, remarkable, weigh, friendly, shopping, mother, deal, mule, kind, approve, helpful",3,"unfair, sour, gray",3,"remarkable, deal, shopping",12,"long, weigh, friendly, mother, immediately, ready, glad, shopping, child, thought, time, deal",0,,Very Positive
tuesday july 13 1943 to friday july 16 1943,7,"good, smile, triumph, kind, finally, food, deal",7,"sullen, upset, pointless, ill, mug, hell, refused",11,"smack, intruder, rage, sullen, upset, contradict, ill, mug, hell, wrath, words",6,"intruder, ill, mug, hell, wrath, change",14,"father, good, frank, smile, advice, prepared, finally, kind, agreed, fairly, elder, doctor, food, deal",4,"ill, finally, hell, ugly",5,"intruder, good, smile, finally, deal",10,"good, prepared, wait, triumph, finally, opportunity, long, thought, time, deal",0,,Very Positive
friday july 16 1943 to friday july 23 1943,5,"cash, excitement, glad, luck, deal",4,"dull, shiver, quiet, unsuccessful",5,"gang, cash, destruction, shiver, indignant",6,"gang, burglar, forced, cash, shiver, stealing",3,"cash, deal, usual",3,"bombed, stealing, burglar",3,"luck, excitement, deal",11,"letter, cash, approaching, attempt, excitement, glad, shiver, luck, immediately, time, deal",0,,Positive
friday july 23 1943 to monday july 26 1943,4,"mother, fun, overjoyed, freely",6,"dying, worthless, lie, gray, mother, fat",5,"dying, spite, worthless, lie, words",4,"hiding, lines, dying, homework",7,"father, real, school, bargain, mother, advised, freely",5,"dying, worthless, lie, gray, fat",0,,3,"long, fun, mother",0,,Very Negative
monday july 26 1943 to thursday july 29 1943,10,"good, joy, peace, finally, wonderful, hope, excitement, food, kind, rising",7,"shot, awful, stroke, falling, resigned, wound, fell",8,"shot, awful, stolen, hit, raid, tumultuous, wound, smell",18,"siren, shot, war, flying, warning, awful, fire, alarm, stroke, escape, government, suspense, raid, shaking, tumultuous, wound, watch, dangerous",10,"father, good, peace, assure, finally, wonderful, hope, harbor, food, kind",4,"bombed, smell, awful, finally",9,"shot, good, alarm, suspense, finally, wonderful, raid, excitement, hope",14,"good, airport, coming, peace, escape, suspense, finally, excitement, long, watch, thought, time, hope, rising",0,,Very Negative
thursday july 29 1943 to tuesday august 3 1943,8,"good, fun, enjoy, young, love, excellent, friendly, mother",7,"unimportant, unable, quiet, bad, fall, older, mother",6,"rage, bad, disagree, despicable, words, tirade",4,"prejudiced, difficult, bad, avoid",7,"recommend, good, enjoy, excellent, friendly, theory, mother",7,"boy, egotistical, bad, ugly, despicable, prejudiced, tirade",3,"young, good, catch",10,"good, fun, enjoy, young, long, friendly, theory, hurry, mother, thought",0,,Positive
tuesday august 3 1943 to thursday august 5 1943,8,"fun, food, safe, perfect, birthday, white, deal, beautiful",13,"quiet, case, bomb, worse, fall, ill, black, broken, dark, lower, fell, remove, strip",15,"fight, spat, hot, shrill, suspicious, politics, raid, ill, broken, angry, fighting, bomb, shooting, remove, ridiculous",17,"fight, war, courageous, cowardly, case, alarm, shrill, worse, hiding, raid, ill, broken, gasping, bomb, shooting, remove, shaking",15,"father, dare, real, calls, majesty, larger, safe, white, grit, perfect, harbor, food, deal, divan, continue",7,"larger, ill, indecent, angry, flea, unsightly, ridiculous",9,"larger, exclaim, alarm, shrill, raid, birthday, bomb, occasional, deal",14,"dare, calls, start, fun, clock, suspicious, opportunity, perfect, birthday, long, white, time, deal, continue",0,,Very Negative
thursday august 5 1943 to saturday august 7 1943,6,"excellent, peace, companion, mother, glee, food",4,"mother, late, quiet, missing",1,gang,4,"homework, gang, shady, missing",8,"father, excellent, peace, companion, constant, mother, food, divan",0,,1,break,5,"long, peace, clock, mother, time",0,,Very Positive
saturday august 7 1943 to monday august 9 1943,0,,0,,0,,0,,0,,0,,0,,0,,0,,Neutral
monday august 9 1943 to tuesday august 10 1943,12,"fun, good, cheerful, smile, young, nap, favorite, goodness, share, mother, food, kind",9,"quiet, interested, case, bad, concerned, black, interrupted, mother, guilty",4,"fight, bad, guilty, hiss",6,"fight, hiss, case, bad, concerned, watch",16,"father, calls, good, modest, frank, smile, advice, favorite, goodness, share, mother, suggest, word, food, kind, continue",2,"bad, interested",5,"good, cheerful, smile, young, goodness",10,"calls, fun, good, young, goodness, share, long, watch, mother, continue",0,,Very Positive
tuesday august 10 1943 to monday august 23 1943,15,"sweetheart, art, heavenly, good, accomplished, comfort, pleased, achieve, favorite, freedom, glad, mother, luck, white, beautiful",19,"danger, doubt, hurt, quiet, mother, leave, impossible, case, unlucky, worse, ill, sweetheart, art, crying, bad, bottom, lost, blunder, bomb",9,"fight, bad, unlucky, bomb, ill, angry, hurt, invasion, tirade",16,"danger, war, doubt, fight, avoid, bait, case, escaped, bad, unlucky, worse, bomb, ill, change, tactics, hurt",19,"doubt, heavenly, comfort, cabinet, top, mother, continue, frank, bait, agreement, achieve, freedom, white, sweetheart, good, father, calls, favorite, tactics",8,"bad, unlucky, ill, dirty, gutter, angry, blunder, tirade",6,"art, luck, good, bomb, leave, slip",18,"sweetheart, art, calls, neighborhood, good, heavenly, daily, comfort, tomorrow, top, glad, clock, mother, luck, thought, white, time, continue",0,,Neutral
monday august 23 1943 to friday september 10 1943,2,"mother, good",5,"quiet, disappointed, stroke, mother, die",2,"shove, disappointed",3,"stroke, die, nervous",6,"father, good, top, manage, mother, dictionary",2,"toilet, disappointed",2,"good, suddenly",8,"good, long, forming, top, clock, mother, time, nervous",0,,Very Positive
friday september 10 1943 to thursday september 16 1943,12,"pleasant, cheerful, god, amazingly, save, wonderful, raving, mother, truce, special, sun, delight",6,"pain, sick, treachery, unpleasant, hospital, mother",2,"treachery, raving",8,"war, difficult, pain, god, operation, treachery, hospital, raving",11,"pleasant, god, operation, save, wonderful, errand, fact, hospital, mother, truce, sun",3,"sick, stomach, unpleasant",7,"pleasant, cheerful, amazingly, wonderful, treachery, raving, sun",10,"daily, pleasant, god, errand, sun, raving, mother, time, announcement, delight",0,,Very Positive
thursday september 16 1943 to wednesday september 29 1943,4,"possess, food, laugh, brighten",10,"sorrow, touchy, miserable, anxiety, worse, wound, depression, leave, forgotten, die",7,"fight, touchy, miserable, anxiety, suspicious, wound, resent",12,"warned, fight, sag, terror, avoid, cautious, anxiety, worse, wound, sorrow, forgotten, die",7,"possess, cautious, fact, brighten, negotiate, food, unreliable",1,miserable,7,"curiosity, warned, laugh, mouth, brighten, leave, slip",8,"curiosity, warned, possess, cautious, anxiety, suspicious, thought, time",0,,Very Negative
wednesday september 29 1943 to sunday october 17 1943,6,"friendly, sweet, shopping, mother, food, kind",6,"disappointed, sick, mother, crazy, leave, shrink",5,"disappointed, annoyance, argument, crazy, deserve",2,"crazy, shrink",10,"father, accord, deserve, usual, friendly, sweet, shopping, mother, food, kind",3,"sick, annoyance, disappointed",3,"leave, sweet, shopping",6,"friendly, sweet, shopping, mother, deserve, time",0,,Very Positive
sunday october 17 1943 to wednesday november 3 1943,9,"money, darling, laughter, lucky, goodness, sweet, mother, pay, reconciliation",21,"problem, oppressive, awful, thief, sluggish, kill, mother, dark, terrible, unable, case, hell, bleeding, cage, lie, crying, miserable, broke, shortage, bottom, lost",17,"money, fear, oppressive, row, awful, screaming, lie, raging, thief, stolen, miserable, hell, shortage, profanity, bickering, tension, terrible",20,"problem, difficult, awful, screaming, oppressive, alarm, thief, kill, terrible, fear, case, raging, hell, bleeding, nervous, suspicion, hearing, broke, shortage, war",13,"money, father, honorable, cover, darling, goodness, fact, sweet, truth, mother, pay, reconciliation, divan",12,"oppressive, stomach, awful, screaming, lie, raging, thief, miserable, hell, bickering, bleeding, terrible",7,"money, alarm, thief, laughter, lucky, goodness, sweet",10,"money, mother, nervous, laughter, goodness, sweet, long, pay, time, reconciliation",0,,Very Negative
wednesday november 3 1943 to thursday november 11 1943,9,"peace, white, safe, finally, liking, beauty, mother, pay, true",9,"danger, spinster, quiet, blue, cry, black, darkness, mother, dark",5,"fear, menacing, carelessness, darkness, fighting",12,"danger, hag, cowardice, fear, war, spinster, neurotic, fire, menacing, hiding, afraid, darkness",20,"testament, planning, budget, dependent, liking, fact, mother, pay, true, peace, gentleman, finally, white, safe, impenetrable, father, lesson, calls, school, dictionary",6,"hag, stomach, neurotic, dirt, carelessness, finally",1,finally,15,"lesson, calls, testament, planning, long, white, peace, approaching, finally, result, happen, mother, pay, time, develop",0,,Very Positive
thursday november 11 1943 to wednesday november 17 1943,7,"surprise, treasure, wonderful, proud, splendid, mother, enjoying",8,"shot, quiet, ashes, case, vanished, mother, fell, remove",3,"shot, remove, stone",8,"shot, case, vanished, flu, surprise, remove, gasping, forced",12,"honor, father, school, frank, treasure, confirmed, wonderful, proud, mother, enjoying, teacher, title",1,dirt,6,"shot, chance, wonderful, vanished, splendid, surprise",4,"mother, proud, enjoying, treasure",0,,Very Positive
wednesday november 17 1943 to saturday november 27 1943,6,"laugh, finally, treat, shopping, witty, mother",5,"miserable, reproach, treat, mother, owing",5,"accusation, miserable, treat, reproach, owing",4,"warn, difficult, owing, treat",10,"honor, finally, explain, warn, fact, treat, fixed, shopping, mother, owing",6,"accusation, miserable, finally, treat, reproach, owing",5,"laugh, finally, treat, shopping, warn",9,"finally, warn, opportunity, treat, shopping, mother, thought, time, owing",0,,Very Positive
saturday november 27 1943 to monday december 6 1943,10,"devout, feeling, pray, comfort, god, love, treat, share, honest, rescue",15,"deserted, feeling, awful, late, worn, falling, reproach, hell, treat, deadly, suffering, ill, honest, sadness, die",9,"deserted, feeling, awful, reproach, hell, treat, deadly, ill, honest",17,"deserted, war, feeling, difficult, awful, pray, god, hell, treat, deadly, suffering, ill, compassion, honest, haunt, watch, die",12,"devout, religion, feeling, pray, comfort, god, treat, understanding, share, honest, rescue, sadness",11,"rags, deserted, feeling, awful, reproach, hell, treat, deadly, suffering, ill, honest",6,"feeling, pray, treat, rescue, occasional, suddenly",10,"devout, feeling, pray, comfort, god, treat, share, watch, fate, rescue",0,,Very Negative
monday december 6 1943 to friday december 24 1943,12,"food, peace, happy, present, laughter, tickle, spirits, optimism, gift, mother, hopeful, kind",13,"doubt, quiet, case, blue, unhealthy, sick, isolation, dreadful, mother, subjected, illness, refused, terrible",6,"bout, lying, hot, averse, dreadful, terrible",13,"doubt, hearing, war, medical, case, unhealthy, averse, contagious, dreadful, fever, flu, illness, terrible",17,"doubt, thermometer, school, medical, food, peace, happy, top, present, tickle, optimism, blanket, doctor, mother, word, hopeful, kind",8,"lying, unhealthy, averse, sick, contagious, dreadful, cough, terrible",7,"present, tickle, laughter, spirits, optimism, gift, hopeful",16,"medical, peace, happy, top, present, laughter, tickle, spirits, optimism, gift, dreadful, long, thought, hopeful, time, mother",0,,Very Positive
friday december 24 1943 to monday december 27 1943,9,"feeling, laugh, good, fun, intimate, young, dance, mother, kind",12,"worry, feeling, crying, case, badly, despair, worse, cry, ill, unhappy, mother, discontent",8,"feeling, despair, ill, unhappy, unjust, words, discontent, ungrateful",8,"worry, feeling, difficult, case, despair, worse, ill, discontent",11,"honor, feeling, good, school, intimate, top, show, dance, mother, word, kind",6,"feeling, despair, ill, unhappy, discontent, ungrateful",4,"young, laugh, feeling, good",13,"feeling, good, fun, coming, intimate, young, top, happen, patient, long, worry, time, mother",0,,Negative
monday december 27 1943 to wednesday december 29 1943,5,"beer, peace, present, surprise, pretty",0,,0,,1,surprise,5,"prepared, peace, top, present, pretty",0,,2,"surprise, present",6,"prepared, peace, top, present, pretty, time",0,,Very Positive
wednesday december 29 1943 to thursday december 30 1943,12,"good, pray, love, god, happy, save, loyal, sweet, glad, faith, kind, alive",8,"awful, crying, miserable, concerned, ill, lonely, suffering, terrible",7,"scream, spite, awful, miserable, ill, lonely, terrible",13,"scream, terror, awful, cowardly, pray, god, concerned, loyal, ill, lonely, suffering, watch, terrible",12,"good, pray, god, happy, save, loyal, secret, fact, sweet, faith, kind, alive",7,"scream, awful, miserable, ill, suffering, lonely, terrible",5,"scream, good, pray, loyal, sweet",11,"good, pray, god, happy, sweet, glad, faith, watch, fate, time, alive",0,,Neutral
thursday december 30 1943 to sunday january 2 1944,4,"mother, adorable, food, young",5,"splitting, ill, dark, mother, fat",3,"ill, raging, ridiculous",2,"ill, raging",3,"mother, food, fairly",4,"ill, raging, ridiculous, fat",1,young,2,"mother, young",0,,Very Negative
sunday january 2 1944 to thursday january 6 1944,8,"joy, love, happy, deal, mother, diary, tender, found",9,"offended, sorrow, unkind, hate, suffering, sarcasm, unhappy, mother, hurt",11,"anger, hurt, irritable, offended, unkind, violent, hate, unhappy, furious, words, sarcasm",9,"hurt, difficult, unkind, violent, hate, suffering, sorrow, nervous, beastly",9,"conscience, happy, confide, explain, mother, diary, tender, deal, found",8,"unkind, violent, hate, suffering, unhappy, furious, sarcasm, beastly",3,"violent, deal, judgment",7,"long, happy, nervous, mother, thought, time, deal",0,,Very Negative
thursday january 6 1944 to thursday january 6 1944,11,"art, feeling, fun, laughing, kiss, ecstasy, wonderful, mother, deal, exquisite, respect",15,"art, feeling, insecure, quiet, pain, terribly, discomfort, beating, ill, wound, mother, withdraw, refused, embarrassment, struggle",12,"rage, feeling, spite, beating, revolt, ill, angry, wound, furious, restrain, insecure, struggle",10,"feeling, difficult, pain, beating, ill, restrain, wound, insecure, embarrassment, struggle",13,"father, feeling, accounts, steady, confess, account, wonderful, agreed, secret, mother, proof, deal, respect",5,"feeling, ill, angry, furious, mess",12,"curiosity, art, incident, feeling, kiss, steady, revolt, embarrassment, wonderful, differently, deal, suddenly",10,"curiosity, art, feeling, fun, kiss, ecstasy, mother, time, deal, respect",0,,Very Negative
thursday january 6 1944 to friday anuary 7 1944,18,"art, feeling, fun, laughing, kiss, ecstasy, good, love, angel, unexpected, wonderful, vivid, glad, mother, grow, deal, exquisite, respect",24,"quiet, terribly, dark, mother, refused, beating, blue, ill, withdraw, embarrassment, art, discomfort, suffering, older, wound, insecure, beg, feeling, bothering, pain, helplessness, longing, unbearable, struggle",14,"rage, feeling, spite, bothering, beating, revolt, ill, angry, wound, furious, restrain, insecure, struggle, revolting",15,"feeling, difficult, pain, beating, unexpected, helplessness, ill, suffering, afraid, restrain, wound, insecure, embarrassment, struggle, revolting",19,"accounts, account, wonderful, mother, proof, grow, agreed, show, good, confess, secret, divan, respect, father, feeling, angel, steady, general, deal",8,"feeling, ill, suffering, angry, furious, mess, unbearable, revolting",16,"curiosity, art, incident, feeling, kiss, good, angel, steady, revolt, chance, unexpected, embarrassment, wonderful, differently, deal, suddenly",20,"ecstasy, mother, immediately, grow, curiosity, fun, kiss, glad, thought, art, good, unexpected, long, respect, feeling, angel, longing, linger, time, deal",0,,Very Negative
friday anuary 7 1944 to wednesday january 12 1944,19,"young, god, happy, wonderful, admiration, marry, mother, true, smile, love, sex, beautiful, good, inseparable, safe, vacation, kind, darling, peaceful",10,"cross, unrequited, quiet, cry, hell, older, mother, crazy, fell, dark",6,"cross, shout, hell, jealous, crazy, confusion",6,"cross, god, hell, marry, crazy, confusion",22,"grammar, god, happy, wonderful, admiration, marry, mother, aunt, constantly, true, intelligent, smile, sex, truth, good, inseparable, safe, kind, father, school, darling, peaceful",5,"boy, hell, idiot, jealous, nose",9,"good, smile, shout, young, sally, mouth, wonderful, marry, peaceful",14,"neighborhood, good, long, young, god, happy, sex, immediately, vacation, marry, mother, peaceful, thought, time",0,,Very Positive
wednesday january 12 1944 to saturday january 15 1944,10,"feeling, good, god, friendly, spirits, friend, dance, mother, success, ribbon",9,"feeling, orphan, upset, worse, lonely, victim, mother, grief, nasty",9,"bias, feeling, upset, lonely, angry, victim, pretending, nasty, ribbon",11,"feeling, orphan, god, suspect, worse, bewildered, lonely, change, outsider, victim, nasty",11,"feeling, good, school, frank, god, top, friendly, friend, dance, ensemble, mother",4,"lonely, nasty, feeling, angry",5,"feeling, good, bewildered, spirits, slip",12,"feeling, good, coming, god, top, friendly, spirits, mother, thought, success, time, ribbon",0,,Neutral
saturday january 15 1944 to saturday january 22 1944,10,"good, present, vivid, birthday, mother, luck, freedom, kind, true, beautiful",8,"awful, jealousy, bad, stingy, longing, ill, mother, hurt",11,"hurt, arguments, awful, jealousy, bad, selfish, stingy, ill, jealous, words, spiteful",7,"war, awful, jealousy, bad, stingy, ill, hurt",9,"father, good, frank, present, kind, mother, freedom, fellow, true",7,"awful, jealousy, bad, selfish, stingy, ill, jealous",4,"luck, good, present, birthday",9,"good, approaching, present, longing, birthday, mother, luck, time, hungry",0,,Very Negative
saturday january 22 1944 to monday january 24 1944,6,"good, friendly, tree, mother, food, deal",9,"disappointed, unkind, concerned, stingy, ill, shell, mother, fault, negative",10,"arguments, disappointed, unkind, selfish, tree, blame, stingy, ill, shell, words",8,"unkind, concerned, stingy, ill, change, shell, afraid, hide",13,"father, real, intelligent, good, trust, confide, friendly, tree, convinced, impartial, mother, food, deal",7,"disappointed, unkind, selfish, tree, blame, stingy, ill",6,"good, tree, shell, differently, deal, judgment",10,"good, coming, long, friendly, tree, opportunity, patient, mother, time, deal",0,,Very Negative
monday january 24 1944 to friday january 28 1944,9,"laugh, good, young, sex, laughter, finally, organ, mother, white",5,"unable, ill, accident, mother, obnoxious",7,"accusation, stolen, disgusting, ill, restrain, words, obnoxious",9,"warned, mysterious, swelling, defend, disgusting, hiding, accident, ill, restrain",13,"father, lesson, good, school, advice, weigh, sex, finally, fixed, usual, mother, word, white",7,"boy, stomach, accusation, finally, disgusting, ill, obnoxious",9,"curiosity, warned, laugh, good, mysterious, young, laughter, finally, accident",18,"curiosity, warned, lesson, good, mysterious, long, young, weigh, sex, wait, laughter, finally, ready, organ, happen, mother, white, time",0,,Very Positive
friday january 28 1944 to friday january 28 1944,5,"money, happy, star, liking, pretty",2,"sick, disapproval",1,money,0,,8,"money, leading, happy, star, liking, show, respectable, pretty",1,sick,2,"money, surprised",5,"money, happy, star, pretty, time",0,,Very Positive
friday january 28 1944 to sunday january 30 1944,25,"money, cheerful, young, happy, save, star, liking, spirits, mother, pay, true, laugh, love, heroism, pretty, generous, childhood, beautiful, good, joy, affection, praised, eager, swim, food",9,"sorrow, sympathize, aching, dull, sick, difficulties, mother, punch, disapproval",5,"money, politics, battle, resistance, punch",7,"hearing, sorrow, frightened, military, hiding, swim, punch",24,"money, ground, happy, save, star, liking, team, elders, mother, pay, true, provide, heroism, pretty, show, generous, good, affection, word, routine, leading, eager, respectable, food",1,sick,14,"money, good, laugh, cheerful, young, frightened, chance, eager, heroism, mouth, spirits, bizarre, punch, surprised",17,"money, track, good, young, happy, eager, heroism, star, spirits, ready, await, pay, swim, mother, fate, pretty, time",0,,Very Positive
sunday january 30 1944 to thursday february 3 1944,2,"god, intense",3,"dark, vanished, leave",3,"scream, fear, intense",5,"scream, fear, god, intense, vanished",6,"father, frank, god, top, intense, usual",2,"scream, intense",4,"vanished, scream, leave, intense",2,"god, top",0,,Very Negative
thursday february 3 1944 to tuesday february 8 1944,12,"money, advance, laugh, clean, cheerful, young, amusing, hope, swim, mother, food, silly",15,"poison, doubt, danger, dying, impossible, case, bad, dark, hell, ill, collapse, mother, leave, die, fuss",12,"money, poison, insane, dying, row, arguments, slam, bad, fuss, hell, ill, invasion",23,"poison, doubt, danger, fire, defend, collapse, fever, hide, unstable, flood, evacuate, case, hell, ill, change, die, dying, bad, advance, insane, slam, afraid, swim",11,"money, doubt, noble, facts, clean, fill, fairly, truth, mother, food, hope",7,"poison, dying, bad, hell, boil, ill, collapse",9,"money, laugh, cheerful, slam, young, advance, unstable, leave, hope",13,"money, daily, advance, coming, long, young, contingent, store, swim, mother, time, hope, hungry",0,,Very Negative
tuesday february 8 1944 to saturday february 12 1944,8,"laughing, laugh, fun, kiss, peace, mother, kind, found",7,"quiet, cruel, tease, mother, fell, forgotten, guilty",4,"cruel, lying, tease, guilty",2,"cruel, forgotten",10,"father, real, school, frank, important, peace, blanket, mother, kind, found",3,"cruel, messy, lying",4,"incident, laugh, kiss, suddenly",6,"fun, kiss, peace, tease, mother, immediately",0,,Very Positive
saturday february 12 1944 to monday february 14 1944,4,"freedom, sun, shining, fulfill",6,"crying, beating, blue, cry, longing, explode",4,"beating, confusion, force, explode",4,"beating, confusion, force, explode",3,"freedom, sun, frank",0,,2,"sun, explode",3,"longing, sun, shining",0,,Very Negative
monday february 14 1944 to tuesday february 15 1944,9,"feeling, music, joy, love, pleased, laughter, wonderful, amused, honest",10,"feeling, problem, music, bad, ill, longing, criticize, mad, disagreement, honest",9,"feeling, bad, ill, criticize, angry, disagreement, honest, words, mad",8,"feeling, problem, bad, ill, criticize, mad, afraid, honest",5,"feeling, attentive, wonderful, honest, usual",7,"feeling, bad, ill, criticize, angry, mad, honest",4,"wonderful, feeling, differently, laughter",4,"long, longing, feeling, laughter",0,,Very Negative
tuesday february 15 1944 to wednesday february 16 1944,1,mother,3,"mother, humbled, bad",7,"rage, lying, bad, blame, agitation, angry, indignation",1,bad,2,"mother, assured",5,"lying, bad, blame, angry, indignation",1,rapid,1,mother,0,,Very Negative
wednesday february 16 1944 to thursday february 17 1944,7,"good, happy, star, affection, birthday, mother, tender",8,"aching, bum, ill, bottom, black, mother, hanging, meaningless",3,"ill, hanging, words",4,"ill, war, afraid, hanging",11,"father, good, frank, happy, star, affection, convinced, understanding, mother, tender, divan",4,"ill, hanging, dishonesty, bum",4,"pang, chance, good, birthday",8,"good, happy, star, ready, birthday, mother, immediately, time",0,,Very Positive
thursday february 17 1944 to friday february 18 1944,4,"amusing, god, good, kind",0,,0,,1,god,5,"good, frank, god, secret, kind",0,,1,good,2,"god, good",0,,Very Positive
friday february 18 1944 to saturday february 19 1944,5,"friendship, feeling, love, mother, beautiful",4,"mother, feeling, hate, leave",2,"feeling, hate",3,"afraid, hate, feeling",7,"friendship, intuition, feeling, trust, frank, credit, mother",2,"feeling, hate",3,"leave, chance, feeling",3,"mother, feeling, develop",0,,Very Positive
saturday february 19 1944 to sunday february 20 1944,4,"hopeful, tender, hope, comfort",6,"deserted, quiet, ill, unhappy, dark, disappointing",4,"ill, deserted, unhappy, bear",3,"ill, deserted, bear",10,"shoulder, frank, comfort, confide, truth, blanket, fully, hopeful, tender, hope",4,"ill, deserted, unhappy, toilet",3,"hopeful, hope, suddenly",7,"expectation, coming, comfort, long, hopeful, time, hope",0,,Very Positive
sunday february 20 1944 to sunday february 27 1944,21,"remedy, clean, enjoy, comfort, god, happy, tree, wonderful, mother, sun, beam, freedom, joy, kind, prestige, feeling, sunshine, favorite, share, happiness, food",12,"feeling, sorrow, lie, missing, blue, loss, broken, lonely, unhappy, lost, mother, lower",8,"feeling, lie, loss, tree, broken, lonely, unhappy, words",8,"feeling, missing, god, frightened, loss, broken, lonely, sorrow",22,"remedy, clean, enjoy, comfort, god, happy, tree, wonderful, strength, mother, sun, prefer, frank, show, freedom, kind, prestige, father, feeling, favorite, share, food",8,"feeling, boy, lie, tree, scrub, dirty, lonely, unhappy",5,"feeling, frightened, tree, wonderful, sun",15,"remedy, feeling, coming, long, enjoy, god, happy, comfort, horizon, happiness, tree, sun, share, mother, time",0,,Very Positive
sunday february 27 1944 to monday february 28 1944,5,"feeling, finally, flirt, yearning, true",3,"late, ill, feeling",3,"ill, feeling, noisy",4,"ill, hide, feeling, hiding",9,"feeling, frank, finally, explain, flirt, understanding, yearning, true, continue",3,"ill, feeling, finally",4,"splash, flirt, feeling, finally",5,"feeling, finally, flirt, yearning, continue",0,,Very Positive
monday february 28 1944 to wednesday march 1 1944,3,"smiling, kind, cheerful",4,"broke, aching, unhappy, bang",2,"unhappy, bang",2,"broke, bang",2,"kind, frank",2,"unhappy, bang",2,"bang, cheerful",1,long,0,,Very Negative
wednesday march 1 1944 to thursday march 2 1944,2,"delighted, found",3,"hell, worried, worrying",1,hell,5,"worrying, burglar, hell, hiding, fled",2,"found, usual",4,"hell, mess, messy, burglar",3,"incident, surprised, delighted",3,"delighted, worrying, hurry",0,,Very Negative
thursday march 2 1944 to saturday march 4 1944,15,"feeling, young, love, happy, compliment, darling, finally, kind, treat, friend, glad, honest, mother, white, silly",17,"losing, misery, feeling, case, bad, miserable, worse, fall, suffering, treat, honest, mother, crazy, hanging, worry, terrible, aggravating",19,"misery, offensive, idiotic, terrible, losing, politics, words, aggravating, bad, miserable, treat, jealous, honest, fight, feeling, hot, argument, crazy, hanging",14,"misery, fight, feeling, case, bad, suspect, worse, treat, suffering, honest, crazy, hanging, worry, terrible",18,"father, virtue, feeling, frank, advice, compliment, happy, darling, finally, treat, understanding, friend, honest, mother, sincere, white, constantly, kind",13,"misery, offensive, feeling, bad, miserable, finally, treat, suffering, jealous, hanging, honest, idiotic, terrible",8,"feeling, young, compliment, finally, treat, break, surprised, slip",13,"feeling, long, young, compliment, happy, white, finally, treat, glad, mother, thought, worry, time",0,,Very Negative
saturday march 4 1944 to monday march 6 1944,3,"love, happy, good",4,"fall, case, dreary, insult",1,insult,1,case,4,"father, happy, good, frank",2,"boy, insult",2,"good, insult",3,"happy, good, bye",0,,Very Positive
monday march 6 1944 to wednesday march 8 1944,37,"money, heavenly, cheerful, enjoy, amusing, god, happy, admiration, mother, glory, sun, laugh, charmed, smile, love, splendor, sex, finally, amused, thankful, generous, witty, beautiful, laughing, good, joy, faith, honest, beauty, entertained, respect, flattering, sunshine, favorite, flirt, happiness, deal",21,"misery, exhausted, quiet, fragile, banish, mother, refused, lonely, hell, die, crying, suffering, honest, deserted, loneliness, misfortune, longing, melancholy, lost, hurt, explode",12,"money, deserted, misery, spite, lonely, hell, banish, honest, words, hurt, conquest, explode",21,"misery, difficult, god, fragile, banish, armor, conquest, lonely, hell, change, hiding, guard, die, suffering, honest, deserted, loneliness, remains, misfortune, hurt, explode",33,"money, heavenly, enjoy, god, happy, top, fill, admiration, mother, armor, sincere, glory, sun, frank, smile, confide, sex, center, finally, show, generous, guard, good, advice, honest, respect, father, school, remains, favorite, flirt, faith, deal",10,"deserted, misery, awkwardness, remains, finally, lonely, hell, suffering, banish, honest",13,"money, laugh, good, catch, smile, cheerful, splendor, finally, flirt, sun, deal, explode, suddenly",23,"money, heavenly, enjoy, god, happy, top, mother, glory, sun, coming, splendor, sex, finally, good, faith, long, respect, gradual, flirt, longing, happiness, time, deal",0,,Very Positive
wednesday march 8 1944 to friday march 10 1944,3,"fun, deal, glad",3,"ill, disappointing, blue",1,ill,2,"ill, gasping",2,"confess, deal",2,"ill, boy",1,deal,3,"fun, deal, glad",0,,Neutral
friday march 10 1944 to saturday march 11 1944,2,"diary, pleased",7,"awful, upset, ill, sick, bleeding, hanging, gloomy",5,"awful, upset, ill, hanging, scare",7,"awful, ill, bleeding, police, hanging, scare, nervous",4,"police, fort, diary, frank",6,"stomach, awful, ill, sick, bleeding, hanging",2,"scare, suddenly",3,"scare, time, nervous",0,,Very Negative
